CICILIANI, Alicia;PS;Santa Fe;0;1;1;1;2;2;2;2;1;1;0;1;1;1;1;1;1;1;1;1;1;2;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CIGOGNA, Luis Francisco Jorge;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
COMELLI, Alicia Marcela;OTROS;Neuquén;0;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;9;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1
COMI, Carlos Marcelo;CC;Santa Fe;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
CONTI, Diana Beatriz;FPV;Buenos Aires;0;1;1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1
CORDOBA, Stella Maris;FPV;Tucumán;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;2;2;2;2;1;1;1;1;1;1;1;1
CORTINA, Roy;PS;Cdad. Aut. Bs. As.;0;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
COSTA, Eduardo Raúl;UCR;Santa Cruz;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;2;1;1;0;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1
CREMER de BUSTI, María Cristina;PF;Entre Ríos;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;9;1;1;1;1
CUCCOVILLO, Ricardo Oscar;PS;Buenos Aires;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;0;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2
CURRILEN, Oscar Rubén;OTROS;Chubut;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CUSINATO, Gustavo;UCR;Entre Ríos;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;0;1;1;1;1;1;1;1;1;9;1;1;1;2;1;1;1
DAHER, Zulema Beatríz;UP;Salta;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;0;0;1;1;1
DAMILANO GRIVARELLO, Viviana Mónica;FPV;Chaco;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;0;1;1;1
DATO, Alfredo Carlos;FPV;Tucumán;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;2;2
de la ROSA, Maria Graciela;FPV;Formosa;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;9;9;1;1;1
